Course_ID,Univ_ID,Course_name,Credit_count,Master_satellite,Master_univ_ID
0,0,Data Mining,3,Master,0
1,2,Machine Learning,3,Master,2
2,1,Introduction to AI,3,Master,1
3,1,Introduction to AI,3,Satellite,0
4,2,Introduction to FinTech,3,Master,2
5,0,Natural Language Processing,3,Master,0
6,0,Probability,3,Master,0
7,0,Introduction to Programming,3,Master,0
8,0,Artificial Intelligence Ethics,3,Master,0
9,0,Statistics,3,Master,0
10,1,Machine Learning,3,Satellite,0
11,2,AI and Manufacturing Applications,3,Master,2
12,2,Introduction to Generative AI,3,Master,2
13,1,Human-Machine Interaction,3,Satellite,0
14,0,Data Mining,3,Master,0
15,0,Natural Language Processing,3,Master,0
16,2,Deep Learning,3,Master,2
17,1,Computer Vision,3,Satellite,0
18,2,AI Imaging Applications,3,Master,2
