Univ_ID,Student_ID,Course_ID,Sem_ID,Status,Grade
6,112000001,5,111Spring,F,20
2,112000001,12,111Spring,F,55
11,112000001,8,113Fall,W,0
10,112000001,14,113Spring,F,5
24,112000001,9,112Fall,F,50
14,112000002,1,111Fall,W,0
16,112000002,4,111Fall,W,0
14,112000002,11,111Spring,F,46
15,112000002,16,112Spring,W,0
10,112000002,9,112Fall,W,0
8,112000003,5,113Spring,F,28
13,112000003,12,111Spring,F,16
5,112000003,8,111Spring,W,0
15,112000003,14,111Fall,F,58
15,112000003,9,112Spring,F,20
19,112000004,5,113Spring,W,0
12,112000004,12,112Spring,F,40
6,112000004,8,112Spring,F,42
20,112000004,14,112Spring,F,56
2,112000004,9,111Fall,W,0
24,112000005,17,112Fall,F,14
7,112000005,18,113Spring,W,0
17,112000005,16,113Spring,W,0
17,112000005,1,111Fall,F,52
8,112000005,13,113Spring,P,65
10,112000006,1,112Fall,W,0
16,112000006,4,111Fall,F,49
19,112000006,11,111Fall,F,13
20,112000006,16,111Fall,F,45
7,112000006,9,113Fall,P,93
19,112000007,2,113Spring,P,64
7,112000007,3,113Fall,F,11
12,112000007,6,112Spring,P,90
16,112000007,7,111Fall,P,80
13,112000007,8,111Spring,F,54
7,112000008,1,111Spring,P,95
2,112000008,4,113Fall,P,65
7,112000008,11,112Fall,F,40
12,112000008,16,112Fall,F,29
5,112000008,9,112Fall,P,84
0,112000009,5,113Spring,F,15
16,112000009,12,111Spring,P,99
23,112000009,8,113Fall,W,0
3,112000009,14,112Fall,P,83
24,112000009,9,112Spring,P,84
1,112000010,2,112Spring,W,0
10,112000010,3,113Spring,W,0
8,112000010,6,113Spring,W,0
19,112000010,7,111Fall,P,76
17,112000010,8,113Fall,F,42
0,112000011,5,111Spring,F,40
20,112000011,12,113Spring,P,77
18,112000011,8,111Spring,W,0
16,112000011,14,113Fall,W,0
18,112000011,9,112Fall,W,0
9,112000012,5,111Fall,P,79
