Student_ID,Program_ID
112000001,3
112000002,2
112000003,3
112000004,3
112000005,4
112000006,2
112000007,1
112000008,2
112000009,3
112000010,1
112000011,3
112000012,3
112000013,3
112000014,3
112000015,2
112000016,4
112000017,1
112000018,4
112000019,2
112000020,2
112000021,2
112000022,1
112000023,2
112000024,4
112000025,3
112000026,3
112000027,1
112000028,3
112000029,2
112000030,2
112000031,1
112000032,4
112000033,4
112000034,4
112000035,3
112000036,2
112000037,3
112000038,3
112000039,4
112000040,2
112000041,3
112000042,1
112000043,4
112000044,4
112000045,3
112000046,4
112000047,3
112000048,2
112000049,1
112000050,4
112000051,3
112000052,2
112000053,1
112000054,2
112000055,1
112000056,1
112000057,4
112000058,4
112000059,2
112000060,4
112000061,2
112000062,3
112000063,2
112000064,1
112000065,4
112000066,3
112000067,3
112000068,1
112000069,4
112000070,3
112000071,3
112000072,3
112000073,3
112000074,2
112000075,2
112000076,2
112000077,3
112000078,2
112000079,1
112000080,3
112000081,4
112000082,3
112000083,2
112000084,2
112000085,2
112000086,4
112000087,2
112000088,1
112000089,2
112000090,4
112000091,3
112000092,3
112000093,1
112000094,4
112000095,4
112000096,2
112000097,1
112000098,2
112000099,4
112000100,2
