gid,university_id,name,name_en,amenity,building,addr_city,name_zh,geom
1,9,國立宜蘭大學,National Ilan University,university,,宜蘭,國立宜蘭大學,01060000000100000001030000000100000020000000EA002D02886F5E40301CBE3BE8BE3840AA205047916F5E4059AE6D403ABF38405865F041996F5E408DDA58E432BF3840C2572A5E9B6F5E4031A0CD6042BF38407FB8509E9E6F5E405E937F773CBF3840AF2880BD9D6F5E40AD7B759F2DBF3840AD19749DA16F5E405A21F6532DBF384088DBFC1AA46F5E402E2350583DBF3840EB048FCAA86F5E406D11627836BF38400B197E26B16F5E40F872FAD577BF3840B0C4A810B46F5E40E86F9DDA74BF384011CBC1C7BB6F5E40BD23BE6E6CBF3840E74E5546C86F5E40D5F2B9C95EBF38405704A4A2D66F5E404F46F01A4FBF38406C79E57ADB6F5E40C8EA56CF49BF384084262E6CF26F5E407CEB68C130BF38407E946CD0F26F5E400CE0D2D62DBF3840604436EBE76F5E40D0A56E1DD2BE3840C0B40309E56F5E4036C181DAB9BE38407F3B3F7BE46F5E407A94A531B5BE3840AF63B72AE46F5E40B7E6D88BB2BE384092088D60E36F5E402E3718EAB0BE3840EB7827FAD76F5E40E0C1AAD5B2BE384093C90457D46F5E4003F4B171B3BE3840EC7882B3CA6F5E406224C511B5BE38405648F949B56F5E40E95784ACB8BE3840BA71E6B2AC6F5E40E21E4B1FBABE384003780B24A86F5E40EE3C96E3BABE3840DB4C8578A46F5E407B2D8D04BFBE38409B5775568B6F5E401833D307DCBE384083CDEFEA8B6F5E40BB3F83F2E3BE3840EA002D02886F5E40301CBE3BE8BE3840
3,24,朝陽科技大學,Chaoyang University of Technology,university,,臺中市,朝陽科技大學,010600000001000000010300000001000000300000005E6743FE992D5E405D69BEEF84113840C1A7DEBF9E2D5E40F00687CDB611384018546529A32D5E4004560E2DB2113840CF842689A52D5E40299485AFAF1138406C335F6FAC2D5E40A1DAE044F41138404A9DDBDFB42D5E40B658405711123840F36CFBC3BB2D5E40BA4846730912384073A900CEC12D5E40CB8866F915123840D18B248BC52D5E4033326DA4111238404C0059E3C72D5E400717E1DC15123840BC53A63DCA2D5E402EFAAF181A123840C871F101CB2D5E4014EEF0321E12384061E8C715CD2D5E40F7E6374C34123840E49299C1CE2D5E40D4580C68331238406C8A11D3CF2D5E4045701239331238403D96E3BACE2D5E404FE3834314123840CC7EDDE9CE2D5E40A340FA8106123840378E588BCF2D5E40F250CA5AF911384007F3B281CF2D5E40F08398F0F0113840F542A621CF2D5E40292504ABEA113840EA697693CE2D5E40AF0793E2E31138405B56067ACD2D5E40CDBBA074D811384026434420CD2D5E40D1F35D00D01138405B56067ACD2D5E409A2D0F88C6113840FCA65599CE2D5E4015F252FBBE113840E305C71BCF2D5E4081DC8F25BD1138400CF26904D12D5E40C1CAA145B6113840F40BC050D12D5E4014596B28B51138400C790437D22D5E409386BFCBB11138404752770ADE2D5E407A96D6958511384035E4E9A6DE2D5E406CE7A0F07E113840CAA3C0A7DE2D5E40512E8D5F781138404DE19C6CDE2D5E40FC6200F26F113840984F560CD72D5E4046764AAC31113840D46D3FCFD52D5E40AC3EB21424113840F8B9EBB6D52D5E405E08837C1A113840DF1225C6D72D5E4086E5CFB70511384084280417D02D5E401FAF5120FD103840788082E6CE2D5E40401AA9520E1138400A39A572C92D5E40AFA93D361311384089DF5EE3C42D5E40B2964C5F1911384063A93F0CBE2D5E40FDDF6CCE1C11384075536FB2B22D5E40858F2D701E113840B207FFC7AE2D5E40801AAD591D1138408CCBA77DA92D5E40E4BF4010201138405C8FC2F5A82D5E408D00B8A349113840A639C31EA42D5E405FFC23C2751138405E6743FE992D5E405D69BEEF84113840
4,4,國立中央大學,National Central University,university,,桃園市,國立中央大學,0106000000010000000103000000010000003500000081165CBDD44B5E40507DD6EBCCF73840915E7935E54B5E405B5CE333D9F73840ED65DB69EB4B5E4049C62066E5F738404D1BC4BDE84B5E408451A456F3F7384038A3E6ABE44B5E4009707A17EFF73840AF8BEC94D84B5E40C099F3E736F83840433A3C84F14B5E40FD0C141D6EF83840C93F8E41024C5E404EA6C0B80AF83840CBCA40AF094C5E40BB97FBE428F838402B24AA01144C5E40B02C87CC4BF8384093944FEA264C5E408C9DF0129CF838408533AE6E2B4C5E40DFE00B93A9F83840A971CA37364C5E40EB3B1AE2B3F838409D595C2D414C5E4059ABD106BBF83840C1D9F7F24C4C5E405B780371C3F838405557F43D594C5E40991E5E21BDF838401AFA27B8584C5E409CC827BFA0F838403F5B62C06D4C5E401F4B1FBAA0F8384033DE567A6D4C5E40B185C54DB2F838402828452B774C5E405C0B6943B4F83840F37684D3824C5E40B5BD82D9A9F8384083401D458C4C5E406D86C03687F83840629C6450924C5E4064DEF4786BF8384083633B84964C5E4076E91505B0F7384041FB4795974C5E40A535615683F7384083633B84964C5E40BD4E8F1260F73840DE5BEC51934C5E40C537143E5BF73840140DADA9874C5E40F0D297EF2AF738405CF05822864C5E403A63F3CC26F73840897E6DFD744C5E402EE983C025F7384069C6A2E96C4C5E407123C04417F73840D57F31B66B4C5E402E313B3025F73840642948226A4C5E40205734E72AF7384005F3FC0E6A4C5E40A806F5882CF738408C8A9356574C5E406026E5492DF7384027947483574C5E40CF4A5AF10DF73840069CA564394C5E40576AACB310F738400B2593533B4C5E40F8EC6FBF32F73840F0C16B97364C5E40BAC2161637F73840C8DB0022334C5E406626625B50F738402796A5E7274C5E409F49511D61F7384025C33B0A214C5E404928226871F7384009B99C5C1D4C5E40CC063EAB71F73840AB048BC3194C5E40BC934F8F6DF738407CF95399184C5E40B3D2A41474F73840F44993F7164C5E40AEA0698995F73840917648D6064C5E405635F74663F73840C8331E5B054C5E40BE82D9A95EF73840BE3BE8C8004C5E40F31FD26F5FF738405449AEACFE4B5E40BDF26ACA5FF738406DFBC33BE54B5E4090BB085394F73840CDD2A986D84B5E4035423F53AFF7384081165CBDD44B5E40507DD6EBCCF73840
5,14,東海大學,Tunghai University,university,,臺中市,東海大學,0106000000010000000103000000010000007800000072BB3C42F2255E40F76CC262792E3840BAC6C26BF2255E4020706E5D7B2E3840F88903E8F7255E407D2F74DB742E3840389B3347FB255E40C153C8957A2E3840EA3F6B7EFC255E4084D6C397892E384031314C5CFD255E401EB237E7962E3840E331A8DBFE255E401B086E49B32E38401E1C4707FF255E403E062B4EB52E3840830FCAA0FF255E408977256EBA2E38403564970318265E40878494449B2E38405578865F20265E4073744B61942E3840406B7EFC25265E40C39904148F2E38400FFE8F5D33265E400E2263FF862E3840E413B2F336265E40AF61E17F862E3840A868F68A38265E40267ED646862E38406EEF648140265E407A0CA029852E3840D69CCDF45C265E40FC82273E882E384012D841CA74265E406A2FA2ED982E3840DF2A99AD86265E4055C9B6C2AA2E3840F0EE12E687265E409C2DC5FAAB2E38408385387B8C265E401166248CB02E38407CC2C8818D265E4076E3DD91B12E38400BC2CBC28D265E40F2BC0ADFB12E3840C1BE428B91265E40B4EED57DB62E38405661D80693265E4060747973B82E3840B9066CBD95265E40DC2DC901BB2E3840CE5BD0D69C265E400E57BDB2C12E38405CFF5316AA265E40AF0F4647CD2E38404E06EC0FB9265E400D5D3FB3DA2E38408E684CD2C6265E406635B808E72E38400ACC54D2D4265E401DF68C8EF52E3840CEC47421D6265E400B5751CDF62E3840297EE772DE265E405A65A6B4FE2E3840FB95CE87E7265E400EF1B4A1072F3840A0168387E9265E40E3F50599092F3840A7C8C628F4265E403D02C985142F3840357D76C0F5265E408A79B18BFD2E3840D816F950FD265E40F88C4468042F38401AB09A9DFB265E4051B6ED201B2F3840CD60E70107275E40F4C29D0B232F3840697FB1080F275E4074BD2319282F38409A6E23AF18275E40B57867A3292F3840E9482EFF21275E40320ADD802A2F3840268A35012B275E408DF1BCAF252F384049AEAC7E36275E40D03F660C182F3840CBE2B49638275E406034D021152F3840358A9B093C275E400F1A0B54102F3840A6AA1ACE46275E407616BD53012F3840563DAAAB4C275E40018D2D5FF22E3840E6A1A5E14A275E40BE3A7DF3D12E38406FE70CD649275E40A4AC3A06BF2E384046C71F5649275E40D8B04BF9B52E3840710D220846275E40053B59C5762E38404EE152DF43275E40B55950734D2E3840EFBB332438275E40C6A1235E432D3840BD1F121931275E40DC15551A8C2C3840ED1C14DE2F275E40B18FA9166C2C3840CC0D863A2C275E4041A1F9F7742C38400A6C297B26275E409B994F0C7F2C3840E2299ABD22275E4073B389DD882C38409048803F21275E4084ABF2F3952C38406F87E17E1B275E40924C3DC1B42C3840E4B9635614275E40CACB50CBC52C38407A3DF3CD11275E40CEA4F21BCB2C3840BD186FD003275E40B84082E2C72C3840CBDB6C07FE265E4036CAFACDC42C3840BC348F0DEE265E401788F94DBC2C3840315008D3E6265E40BFEC4383B92C3840441DB171D8265E40E9FB5F64B82C38400721C5A5CF265E4000941A35BA2C3840044E5BC8C8265E4040248D1BC82C384064B213B9BB265E40C72C7B12D82C384019DFBCDDB7265E40459F8F32E22C384068716B77B4265E409075278EF22C3840F96B0D00B0265E408F029F7AFF2C38409E222CCFA8265E409D86037C122D38409BDC9497A1265E404C022F8E252D3840CE5BD0D69C265E40DC137F6F2E2D38403C44488295265E40D99F7A5A342D38403F6DF9ED90265E40EAEA8EC5362D3840E9256B798A265E40A823DB54382D3840BC71F7DE84265E40D5E0C7E2482D384089111D5D80265E408113C083552D3840707E1EFE75265E40E27899BC5C2D384097F6178B70265E4088B1964C5F2D3840AB7015D56C265E40BD62FCEA602D38406638544266265E4008F4D3C9632D3840862CC19863265E4007301B53662D38404886C1A15C265E401F44D72A662D3840E1359EBE54265E409F91088D602D38405479F1344F265E40AA0B7899612D384022D797B649265E404AE361EB632D38409BEE2BC544265E40B2F105D26A2D38404BC0F91E3F265E40F95E8DFD762D38401F12BEF737265E4080AF3264862D38401BDA5B2533265E4053C5F940972D38400459AA6631265E40DF39EF5A9D2D3840A023A8D02F265E40957549E6A22D384053A3A1902E265E40B7F704E4A62D384026A4DA4C2A265E4064A6FE8BB12D3840A5FF401427265E404832AB77B82D38405CA0EE4D1D265E401C6ED113E02D3840BDB497231A265E408164952DED2D3840B17CA7131A265E40634BEA5FED2D3840485FF70C17265E40D8440B75FD2D38405B608F8914265E4028CF6163032E384004B4082010265E4029B000A60C2E38403C6645790B265E40EA961DE21F2E3840A26538F908265E406CEE43392C2E38402090F06206265E405A10CAFB382E3840F331699D02265E40A4C684984B2E38408265B67501265E4006048420512E384042AA72EBFF255E408BF7883D592E38406BB6F292FF255E40E983C0255B2E3840841266DAFE255E4058FFE7305F2E3840F54311F7FD255E4032FDB737642E384096B1A19BFD255E407E7A223E662E3840A2BB7F87FD255E40904138B0662E384011ECAEA2F5255E4094579D8B752E384072BB3C42F2255E40F76CC262792E3840
6,21,龍華科技大學,Lunghwa University of Science and Technology,university,,桃園市,龍華科技大學,010600000001000000010300000001000000200000004FA7E1009F595E40A3FB839213053940C4AE9234A4595E4085DD66E0360539401C0B0A83B2595E401975ADBD4F053940ED3081B6B0595E406AF40FC75F053940A5D70BAAB2595E404FFCBDB9640539406720E05AB7595E403A92CB7F4805394089EA52C8BA595E40070F2E782C053940CED25FF9BD595E40B6D782DE1B053940CC1940AEC3595E40F98F3B5BF6043940755F2926CA595E40063873FEDC043940D2FC31ADCD595E4071C806D2C5043940516FA186CA595E40CF3758EEBB043940A5CCBC0BCA595E4013AF57FDB60439409F6BA9CDC9595E40AA944330B30439409FE40E9BC8595E409885764EB30439407699AB30C7595E4035E0E297B0043940E2218C9FC6595E4035CC75BFAF043940B37279BDC5595E402F7FCF59B004394089528C3DC5595E401C846F50B1043940843CCCA8C3595E409088844AB7043940F6590AEDC1595E4005C1E3DBBB043940F23279B9BE595E40FCC0FAE4CD043940C5AC1743B9595E4076F5CF78C70439407316516EB6595E400BC6D2D1BB0439402FF598EDAF595E40A9746671B5043940BE50C076B0595E4022E5828EB10439401A2433CDAA595E40147E0459AA0439402D9B94DDA7595E40E44C13B69F04394061F82DDF9F595E404565C39ACA0439400294D0A79F595E40DCB8C5FCDC043940EF3614E3A1595E40E3FA777DE60439404FA7E1009F595E40A3FB839213053940
7,11,長庚大學,Chang Gung University,university,,桃園市,長庚大學,01060000000100000001030000000100000024000000FBD97EE8B8585E4085043175FC083940B8883952C7585E40344E9E0D54093940E5C97F92CC585E4003379C4363093940632BC313D5585E406FCE2D196C093940F63D8FF6E4585E40BFBF9C3468093940796A3F63F0585E407632384A5E09394097D17E5AFB585E406C7308C14F0939401A23C8F7FB585E4016E4C2DC49093940450A0A28F9585E40C550F3FA380939402E56D4601A595E403D68D196CE0839408F2B3FBA22595E40616EF7729F0839403D258C0B2C595E40C797F5076F0839405A80B6D52C595E400C09731651083940E906AF0221595E406006BEFD1408394005ACB07419595E40222125D126083940966137C714595E40802BD9B111083940E970636916595E40E1CFF0660D0839401168FA360E595E40075B913DE7073940F713DF9A05595E4069C36169E00739408FA042BF00595E40CA501553E90739407220DA7DFD585E40AFBA698E07083940DDB98B8BFE585E40B3237ABE0B083940FB9E477BF2585E404D11E0F42E08394099678066EB585E40802BD9B1110839408571DCCEE3585E40D23AAA9A20083940F3D71A00E0585E40E2DC706946083940B6F292FFC9585E401F25C0FA8908394017940E7BC6585E40FFFFA4468D083940D2246717C2585E40B95164ADA1083940B9ABB24AC4585E40465F419AB10839400BE654D7C6585E4056760B6EB50839404D481053C7585E40753A90F5D4083940E61192BBBE585E403E271829EF0839402F9F515FBB585E40E0354305E2083940181B0467BA585E404ED944C1E7083940FBD97EE8B8585E4085043175FC083940
2,15,逢甲大學,Feng Chia University,university,,臺中市,逢甲大學,0106000000010000000103000000010000001F000000AB11B00C60295E40875341A08E2E38404FEED2E17C295E40F1FDC34C912E3840C8A1348A9B295E40A29CC310942E38401BE20E8A9C295E40240A2DEBFE2D3840C2CA57B89B295E4048B42E7FCF2D384063073AFF9B295E400A7D55D39A2D384014FF1C8B92295E4093F0CEEB992D3840723DC04989295E40D0B29366982D3840082B04287C295E403037CE5C962D38405B3A8B8370295E403DBDAD4F942D38405AFDC7F866295E4038482D39932D38407FB1080F64295E4020347161932D38407A7E07F563295E4082154CA1982D3840C7A8216063295E4065A07C8B982D3840CD23DAE962295E409A290879982D38409E2C109862295E40A02EF76E982D38405D9C42F861295E40AC38D55A982D3840D4E649E361295E40F5F983DCA02D3840DAEB38D961295E403C72FFECA22D3840A4349BC761295E40738005D5AB2D384027A089B061295E406737E96CB72D3840FE20DCAE61295E40000AE4C8B92D3840AA7EA5F361295E403C985EACB92D3840BCBB84F961295E406F850BD4BD2D38408C65FA2562295E406AD14C41C82D3840AA2281AB61295E400C570740DC2D38401019A07E61295E40E6B97482EC2D38400ACF955261295E40247ABE0B002E384034C40CE860295E4094D11275302E38404CC1BFAD60295E40ABD7E374482E3840AB11B00C60295E40875341A08E2E3840
8,7,國立臺北大學,National Taipei University,university,,新北市,國立臺北大學,010600000001000000010300000001000000560000007D0569C622575E4019598D8065F038407595496826575E403708292E7DF03840E271F6732F575E402305604DAFF038409AED0A7D30575E40459B8823B4F0384095F430B43A575E4074232C2AE2F038406545C31847575E40F6F9DE9513F138405C001AA54B575E400F0C207C28F138408B28379B58575E40C16FE8D264F1384066FE2CF15B575E400B3D073B6AF138401EED6E545D575E40F058220670F1384006DF8F3669575E406EDA311A9EF1384077B4BB5175575E4083A9C18FC5F13840345D990178575E4025CADE52CEF138408A62A8797D575E40BD659824E0F13840BE2ABC708C575E40B3C755760BF2384018377F5D97575E40FA5A3C612EF238407CB779E3A4575E40E32DA1CC50F238405E3F0E94A5575E40F9C55B9D52F23840BCCE86FCB3575E409F550B9178F238409C7E9AA4C3575E40BD9D8E119AF23840E341695EC4575E40F4FE3F4E98F2384089F3CBBBC5575E40E9A4AD0095F2384023FA10AFC6575E40A510C8258EF2384070F0E082C7575E40C6B1E4E088F23840E1911DC0C7575E40143BBFCD87F23840A7D315C7DC575E4044CEB1721EF23840E3C0502CDC575E4048BEB78E16F23840FF29B05BDF575E404FB2309F07F2384093E6EA22E0575E407B8505F703F23840167D4FF6E0575E4047F47C1700F23840A4C16D6DE1575E40B46E2821FDF13840FE65F7E4E1575E40CDEA7827FAF1384051D77F42E2575E40C30078FAF7F13840391FE8B2E2575E407DD0B359F5F13840626DE756E3575E40252191B6F1F13840FBC9181FE6575E40626A4B1DE4F1384006E5C7A9E7575E406E0498E8E2F138408560B076EF575E40342BDB87BCF1384050920953EF575E408A69F008B8F13840E180F167D3575E40CA6A5FE575F138403EDBB463B4575E40E9F582AA2CF13840E1404816B0575E409B070B8222F13840A49AA3D89B575E40C5268D2CF4F0384005813A8A98575E40119B7E3FEBF03840FAF25DA596575E401F245525DBF03840F683150294575E4014701981C2F038402CFCCF5092575E40CF8F75278EF038406257491A92575E4012D32A9F8AF038402182604491575E4061BB20C77BF03840CE55F31C91575E407B93951579F03840FE97101890575E4090F9804067F03840407331618F575E40F562CD6D67F038409A93BCDF8D575E4018DD8B7967F03840137D3ECA88575E40A11CBBFA67F03840ED5D280582575E403CC7DBA568F038406DD96B8B7C575E401E0A552069F03840B270485975575E4035327ED069F038404320973872575E40ED09B7216BF03840A43A78816D575E400917F2086EF03840F295404A6C575E40566C825E6EF03840A5715E526B575E4098FFEB376EF038403BEFB5566A575E403FE834666DF0384041F7408669575E40991FC9F66BF03840F40071B268575E40AC06BC276AF03840C097C28366575E40968EDE1566F0384026B15A4F63575E40CD3747C263F038402A0E56525D575E40F2199AFC60F038406FEA4D5656575E404D3DC1B45EF0384099130F8354575E40839E72F15CF038403A98A83954575E40B927FEDE5CF038408AA658DA4E575E4043BB54B659F038408665225B4C575E409B560A815CF03840DACB118D49575E40B2EEC4515EF038404D48105347575E40ED3488C55EF0384030C50BD844575E405EA8B2DE5EF0384002A9030F42575E40DB954C0460F03840D40561133E575E404D8578245EF038409A0D8D823B575E40613024CC59F038404227840E3A575E4081D1408754F038403C25315239575E408D7FFA2A54F038405F515B342E575E40CB75093D51F03840448F73F629575E400794F2FF4FF03840C4AE923424575E40E6AA1ED555F038404101254F23575E40DDD506825BF03840120A5BFD22575E4011678F615FF038407D0569C622575E4019598D8065F03840
9,8,國立中山大學,National Sun Yat-sen University,university,,高雄市,國立中山大學,010600000001000000010300000001000000B30000000FC0BCB66D105E40B88C4061F59E3640F3E7DB82A5105E405F6633E25D9F36401FA80991C2105E4067E03609949F36407804DC98C3105E403C41AC48969F36402777E970BE105E406762BA10AB9F36408871EDFABB105E404EC4115AC59F36403FB9B76CBE105E4006E4011BC69F3640DE14A0B7C2105E409BBD7D67C59F3640AD9E3825C5105E40875A892FC99F36403403A61DC8105E40742BDF8ECB9F3640879FA465C9105E40547655FBCF9F3640AFE4CF5CCC105E40B48707DEDA9F3640663D6B6DD0105E40AAF7AF07EE9F364052DD126FD3105E4081542F641AA03640C2A6295DD5105E40452C62D861A03640ED4218E4D3105E40221B48179BA03640D0ED258DD1105E40F6251B0FB6A03640F768BB53CB105E4077AB9D17DDA0364045172F71BF105E4036D88AEC39A136400A4D6D04BD105E40CF54E30055A136402693AEF4B5105E40C23C1A3D6DA13640A75CE15DAE105E40094E7D2079A13640295DFA97A4105E4005F9D9C875A136408DDAB39DA5105E408658FD1186A13640825DA857A5105E40A8CFC42A94A1364048968224A2105E40EB3E5B62C0A136405B80118F9F105E40D26AED22F1A1364038DBDC989E105E40B54FC76306A2364016E6F3409A105E4029F345312FA236409B745B2297105E405E82531F48A2364093A8177C9A105E4052A9C8D754A23640BE3C539EAF105E40237E6A61BBA236403AF6A22CB2105E40361DA622BAA236408645FB0EB4105E405B5B1DA5B7A23640DF420D95B5105E407ADC5CA1B4A236404F9C9262B6105E40B776476BB1A23640146A3CC7B6105E408F4BC1BFADA23640D837E62BB7105E40A90FC935AAA23640FBF32334B8105E40006EBB75A3A23640D7039C94B8105E403D08A63FA0A2364018BFDF1EBA105E400D33D9E495A236401E7C17A5BA105E40CDABDFF192A2364016574BF0BC105E40D4B3C5DA84A23640AB86B311BE105E406C01463C7EA23640275AA8EBBF105E40D496DF0E79A23640D9A2BBDAC0105E40B0C0FCBA78A236400D7CFB29C4105E408E52AE9575A23640487A072EC5105E40BF0A952474A236400B1467FBC6105E40662728EA71A23640EDE016E2C7105E40A816B60B72A23640767C6AABC8105E4055F0805770A2364010690A53CA105E4094F2FF4F6AA23640AA6F4F46CB105E408423EDEB65A2364038AE354ACD105E4011F7FD405EA23640D88B570FCE105E40D894D00259A2364072929C02CF105E407537F4BB55A2364001EB2752D0105E40F97DA42D53A2364030551FFED0105E4007C83C974EA236406B6DD04DD1105E400373993F4BA236406B532B02D2105E409603E21A44A23640E2B7D738D1105E406D53E17437A23640CB75093DD1105E405C1C3AE235A23640DCE0FA66D1105E408CD4207134A236405FA5715ED2105E4005A161D630A2364011D4DF01D4105E401E65694C2DA236409F2C6B51D5105E40B08D1DF928A23640C2024EA5D5105E40BC6F213427A2364021D73CFDD6105E40C5FC811722A23640E4709CCAD8105E405F95B0DB0CA23640C0666FDFD9105E40BD186FD003A23640673513C2D9105E4026169DD1FBA13640615E36F0D9105E401FD4EA50F2A13640D88E988FDA105E40230CA8DCE9A13640013C58B5DA105E40FBE02131E6A13640786CBA54DB105E40E654D746E1A136406010470DDC105E40CD73E904D9A13640EE68D25CDD105E4037D9AB34CEA1364023AAA6DADD105E409107C7D1C1A1364077042626DE105E4087F5EBF3BDA13640F3D71A00E0105E40A946544DB5A13640B6717ACDE1105E4029386167AFA136403379B93EE2105E409EAFFE74A8A136406E916A8EE2105E402E701EF3A6A136408FB1C9D0E7105E40766792FD98A13640000B4F9EE8105E40FAAD426F96A13640A6BF4D35E9105E407B9F4F8990A13640887258D0EA105E40F63BB94B87A13640B10573AAEB105E4089CC012780A1364016B13ED4EC105E400301D7BA79A13640F77DEEBAED105E40DBD5500F76A13640928433AEEE105E40C5E171F673A136401449AAA5EF105E4097F9B3C46FA136404970D9D7F0105E40D763C7EB66A13640F5E10FF5F1105E404A73D0CA62A1364024326255F3105E4023484A1F5FA1364047BA55C6F5105E40C2BA963556A13640760AA826F7105E409D42531B41A136405EE27E76F6105E40E2010A9A3BA13640F91C0E01F6105E40BB3E181D35A136402F7887CAF5105E40B85109F42EA13640A0EBB1E3F5105E406D50A0F42AA13640AC7FC63BF6105E40B0A7C24428A13640ED54AF11F7105E4023B7CB2324A13640273916CAF8105E40B4DF7FD01FA13640623722CEF9105E4002B1112D1EA13640326596F3FB105E4044A09F4E1EA136407BCA202D04115E401280249122A136404990002409115E4085AC133C2AA13640F8EE456A10115E40D957C3EA34A13640725AA61515115E40482F0F3E39A13640E2653C0018115E406648BA0B39A136403A634E8619115E402B7EF89E36A13640C86DEAF21C115E407492527534A1364008292E7D1E115E40F7706EB834A13640E9C193CC20115E4016F2ADB431A136407834C46721115E40A0F595AC2FA136400C642C8922115E40CBF044B52DA13640E1687D8024115E408901B7932DA136403F09224127115E40DC27EC472FA13640F11DEB9829115E400CE0D2D62DA136402A8018D72E115E40ED41AD0E25A13640B07F8DDA33115E404A5DD7D41EA136408B27710C37115E40B834232823A13640941FA79E3B115E401DFA939D23A13640337B8FE93F115E4094D9C5D919A136406E93403940115E40B4C2990414A1364062CBE14941115E404196AA590CA13640FD0571D440115E40A8A6C931FEA03640F157B73041115E4026135C51EFA0364044CCDBC740115E40EF18C341E7A03640493B246B43115E40BDBE7BECD3A036407D00F7E145115E40AC58FCA6B0A036403B9EE0AC52115E40EF192E1796A03640976027AB58115E40BFCB56A87FA03640156E9E8F57115E40FE9C82FC6CA03640996C979155115E4031DDDA7866A036407C9BFEEC47115E40F44B69A274A0364020ABA5CA41115E40342F87DD77A03640353113FB3A115E402FC37FBA81A03640CB24349339115E401B7D714E91A036406C8CE77D2D115E40EB8EC536A9A036407982B34A1F115E400C2659E25CA03640EBE7A8FE1C115E40BA86191A4FA03640940A743719115E40AE56DC6E38A0364084B12A6714115E40E0FD4C1828A0364038C1920612115E40AD6BB41CE89F3640AA99B51410115E4010C01770E09F36405215095C0D115E40459C4EB2D59F36400622D5C10B115E4061DF4E22C29F36404F0BB9AD08115E402D1FEE8F9C9F3640190F006608115E406A1A6F86769F3640A4E4D53906115E40701F5E7C769F36402667CD3406115E40516DCBDB6C9F3640ECCA1DEC03115E401036864A6D9F36401C0A9FAD03115E40854B7D0F4D9F364022B6059502115E40590A92883A9F36403A85A63602115E4022DFA5D4259F3640B87878CF01115E40463305210F9F36404C6661F401115E40C4B30419019F36404C77329303115E405323F433F59E364073FEDC8607115E40FB6A589DE69E3640072E45A808115E403D68D196CE9E3640FABE6EC70A115E40F711AE36B59E3640781101E209115E40DF313CF6B39E36405A29047209115E406F62ED94B39E3640DEDCA9CA08115E40452BF702B39E3640552A4DEF07115E40C00C2142B79E36402C5217DF06115E401D6B9093D39E3640C72DE6E706115E4014820B68D89E3640C1E677F505115E40B1E5F0A4E09E3640FFB4AC5601115E4007EE409DF29E36404D55905500115E404689A768F69E3640362D67A5FF105E40268C6665FB9E3640F40FC75FFF105E4059315C1D009F364047DD730500115E40BE953666239F36407D97AD50FF105E4016E934C1269F36403E7CF4E1B4105E403C461E2D739F36408C2320706E105E4067BA3203F09E36400FC0BCB66D105E40B88C4061F59E3640
10,18,國立臺北科技大學,National Taipei University of Technology,university,,臺北市,國立臺北科技大學,01060000000300000001030000000100000019000000EACA67791E625E40568E7F55E40A3940FC1E50911E625E40B23F9AFBF50A394079B361A81E625E40AF2BC13D2A0B3940F6306AAD1E625E400C4BF212520B3940FB462A4220625E40B8F072C7510B3940ECC5AB0727625E4024038AA2510B394026BE7F9829625E40688302A5570B39407E9E50992C625E40AF777FBC570B3940B21E08DA2E625E40A86620E05A0B39402D9ED55D34625E40A90DF38A4C0B39400E20329B36625E40B11E5267490B394000C5C89239625E402A334A3C450B3940AE4BE88942625E400A7547B53E0B3940B8431E1C47625E401F88878B370B3940C4D7327447625E40A8B34934370B39402C62D8614C625E40EB0A6C84340B39408F7461FF50625E40957B26A02E0B394018B4908051625E40A2C739FB140B3940A6C7009A52625E40FE04BC71F70A39408D1D9E6F55625E4060D916AFC30A3940A5D535FF54625E4056236019C00A3940DD989EB044625E40FEB8FDF2C90A394031FCF1A842625E402704615DCB0A39403DDA931B20625E4058868263E00A3940EACA67791E625E40568E7F55E40A3940010300000001000000080000006CDD17E137625E40CB749E67A20A3940242B1AC638625E40A85489B2B70A3940C1A8A44E40625E408676A96CB30A39400F49884D3F625E4009D341A89C0A3940DB55A3B23C625E40F767507E9C0A394071D696F03A625E401B2AC6F99B0A394066D828EB37625E403F90172D9B0A39406CDD17E137625E40CB749E67A20A394001030000000100000017000000A6E7829F5D625E402A0DEB7C2E0B3940596144EC5D625E4059A5F44C2F0B394030B209D572625E409EFD929E330B394001A19A3773625E409F8D017E320B39404100BA7974625E4077E0F7CA170B3940F4D59F0E75625E40F4E4F5BB0B0B3940ED9F02BB75625E4085F0C39CFB0A3940F39EB93D77625E40714A8AD9DC0A3940F827A72C79625E4083723678BA0A3940E2A650276A625E408E345DF4BA0A39403847C26364625E4065B5AFF2BA0A39404A2B195B63625E402A786572C50A3940E5DB717962625E40492AF812CF0A394033935E8A61625E40553D4FF2D90A39404B06DBE360625E40BC17A941E20A394046D6750360625E402142B7F2ED0A3940358529255F625E40EF86D970FD0A3940C9A0246E5F625E40FBECDBA4FD0A39409A92510A5F625E4041E955AE010B3940FF9F79EF5E625E40F9F4D896010B39407649415C5E625E40B05989D40F0B39404752770A5E625E40D5809C8B1A0B3940A6E7829F5D625E402A0DEB7C2E0B3940
